Spanish
ltr
Paper, 1 folio, with some staining and edge wear.
Letter from Juan de Padilla to the Illustrious Council of Toledo, dated April 23, 1527, expressing his loyalty after an escape and requesting leniency for his associates.
Latin

Illustrissimo

Juan de padilla a veynte &amp; vn dia del mes de
hebrero de mjll &amp; quinientos &amp; veynta &amp; siete annos
ante mj don Johan perez del escrivano &amp; notario publico
habido el presente disenbrado en la eglesia mayor
de toledo por el sennor Rodrigo su muge el qual
escrito que el presente se contiene &amp; trascurren
&amp; en vno con el escripto de su merced
que nos entrego en vno con los otros dos escritos
antes ditos &amp; ha puesto en cunplimiento &amp; prometido
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
&amp; de lo que se puede deducir &amp; de lo que se puede deducir
